id,name,surname,party,alliance,political_stance,isMilletvekili,bsky_handle,did,verified,displayName
552,Mahmut,Tanal,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,mahmuttanall.bsky.social,did:plc:xjrpqxutwhmijyafgwsr4qnu,True,Av. MAHMUT TANAL parodi
549,Ömer,Öcalan,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,Kürt Siyaseti Sol Muhalif,True,omerocalan.bsky.social,did:plc:yy4glprzx5pnfaxpfvjzzgbh,True,Ömer ÖCALAN
527,Mehmet,Karaman,Yeni Yol,Millet İttifakı,Sosyalist Muhalif,True,bskrmn.bsky.social,did:plc:xuywhyo3zxxrvpdnakganvgw,True,Mehmet Karaman
520,Ümit,Dikbayır,Cumhuriyet Halk Partisi,Millet İttifakı,Sosyal Demokrat / Kemalist Muhalif,True,umitdikbayir.bsky.social,did:plc:dtb7kajsnn5i7ih36oah5tsi,True,Ümit Dikbayır
517,Murat,Kaya,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,osmanmuratkaya.bsky.social,did:plc:qac6fjwvg2xb3cms6ilijaph,True,Osman Murat Kaya
515,Ali,İnci,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,operationalinc1.bsky.social,did:plc:yghze52glhsdovlwh7pzum6k,True,Operational Incident
502,Mustafa,Hamarat,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,hamaratmustafa.bsky.social,did:plc:3gv4zbrgw4oslpbcp7zlsmgh,True,
495,Emre,Çalışkan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,caliskanemre.com,did:plc:v4dkiq2e26nlagz3ipppzovp,True,Emre Çalışkan
493,Mehmet Emin,Şimşek,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar İktidar,True,meskiamber.bsky.social,did:plc:cqohagz3ltloyjp3jwg4xxwf,True,Mehmet Emin Şimşek
492,Sümeyye,Boz,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,Kürt Siyaseti Sol Muhalif,True,sumeyyeboz.bsky.social,did:plc:ocoazfd62r4k4dnuffoosodh,True,Sümeyye Boz
491,Sezai,Temelli,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,Kürt Siyaseti Sol Muhalif,True,s-temelli.bsky.social,did:plc:f72bhgitp2jm6pturtqlmtxj,True,Sezai Temelli
